F59,F61,F64,F109,F111,F114,F115,F116,F117,F120,F121,F122,F123,F126,F157,F158,F159,F160,F161,F162,F223,F224,F225,F228,F229,F230,F231,F234,F265,F266,F267,F268,F269,F270,F321,F527,F531,F670,F778,F844,F850,F886,F994,F996,F1102,F1104,F1212,F1320,F1428,F1492,F1498,F1536,F1692,F1926,F1932,F1966,F1968,F2034,F2040,F2074,F2076,F2082,F2122,F2142,F2148,F2182,F2184,F2285,F2481,F2578,F2582,F2678,F2686,F2737,F2779,F2956,F3043,F3502,F3504,F3532,F3534,F3610,F3612,F3640,F3642,F3748,F3750,F3836,F3887,F3894,F3898,F3908,F3913,F3914,F59_isnan,F60_isnan,F61_isnan,F62_isnan,F63_isnan,F64_isnan,F157_isnan,F159_isnan,F160_isnan,F162_isnan,F265_isnan,F267_isnan,F268_isnan,F270_isnan,F364_isnan,F365_isnan,F366_isnan,F367_isnan,F368_isnan,F369_isnan,F466_isnan,F468_isnan,F471_isnan,F568_isnan,F570_isnan,F571_isnan,F573_isnan,F2288_isnan,F2290_isnan,F2291_isnan,F2293_isnan,F2385_isnan,F2386_isnan,F2387_isnan,F2388_isnan,F2389_isnan,F2390_isnan,F2484_isnan,F2486_isnan,F2487_isnan,F2489_isnan,F2581_isnan,F2583_isnan,F2584_isnan,F2586_isnan,F2681_isnan,F2682_isnan,F2683_isnan,F2684_isnan,F2685_isnan,F2686_isnan,F2782_isnan,F2784_isnan,F2785_isnan,F2787_isnan,F2889_isnan,F2891_isnan,F2892_isnan,F2894_isnan,F2997_isnan,F2998_isnan,F2999_isnan,F3000_isnan,F3001_isnan,F3002_isnan,F3103_isnan,F3105_isnan,F3106_isnan,F3108_isnan,F_account_age_days,F_unsupervised_anomaly_score,F_balance_velocity_per_month,F_balance_velocity_per_day,F3886_Savings,F3924
0.58,0.59,0.7,0.0,0.53,0.66,0.0,0.0,0.53,0.64,0.0,0.0,0.53,0.64,0.51,0.5,0.52,0.61,0.57,0.62,0.0,0.0,0.31,0.43,0.0,0.0,0.31,0.43,0.29,0.27,0.29,0.38,0.3,0.41,1.07,0.0,1.21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.745762712,0.745762712,0.983050847,0.745762712,0.676056338,0.676056338,0.943661972,0.676056338,0.0,0.0,0.630952381,0.630952381,0.94047619,0.630952381,1.0,6.02,-0.05,0.12,0.72,0.12,0.26,0.62,202.0,87.5,4.37,4.37,0.89,1.32,3.34,3.34,0.92,1.38,0.95,1.4,3228810.72,172,39.0,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247,0.06126223895730365,18772.155348837212,615.363201829617,1.0,0
0.46,0.5,0.29,0.49,0.49,0.46,0.49,0.49,0.49,0.46,0.49,0.49,0.49,0.46,0.48,0.49,0.46,0.45,0.47,0.44,0.23,0.21,0.26,0.17,0.23,0.21,0.26,0.17,0.22,0.21,0.23,0.17,0.2,0.13,0.84,0.9,0.72,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.52,0.52,1.0,0.52,0.448275862,0.448275862,1.0,0.448275862,0.0,0.0,0.461538462,0.461538462,0.945054945,0.43956044,0.13,0.19,-0.31,0.02,-0.31,-0.18,-0.41,-0.52,43.0,87.5,-1.0,-1.0,0.34,2.95,-1.0,-1.0,0.2,2.6,0.49,2.8,189185.54,172,39.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247,0.11077318160716842,1099.9159302325581,36.0559443491519,1.0,0
0.73,0.67,0.96,0.6,0.48,0.46,0.6,0.85,0.49,0.46,0.6,0.85,0.49,0.46,0.61,0.88,0.49,0.64,0.89,0.46,0.44,0.69,0.33,0.44,0.44,0.69,0.33,0.44,0.45,0.72,0.33,0.6,0.83,0.44,1.29,1.58,1.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.6875,0.6875,0.669642857,0.517857143,0.658163265,0.658163265,0.607142857,0.428571429,0.0,0.006465517,0.564655172,0.564655172,0.603448276,0.323275862,2.29,2.74,0.41,0.29,-0.37,-0.21,0.18,-0.11,62.0,87.5,-1.0,-1.0,0.93,2.3,-1.0,-1.0,0.92,2.41,0.97,1.92,2898.72,170,44.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5244,0.08657367918917386,17.051294117647057,0.5527688787185354,1.0,0
0.51,0.5,0.46,0.59,0.7,0.82,0.59,0.48,0.69,0.82,0.59,0.48,0.69,0.82,0.59,0.48,0.69,0.76,0.52,0.82,0.3,0.26,0.34,0.38,0.3,0.26,0.34,0.38,0.3,0.26,0.34,0.37,0.31,0.38,0.96,0.87,1.27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.857142857,0.857142857,0.928571429,0.821428571,0.873134328,0.873134328,0.858208955,0.776119403,0.0,0.0,0.88856305,0.88856305,0.894428152,0.835777126,0.0,0.0,-0.08,-0.08,0.0,0.0,-0.08,-0.08,24.0,87.5,-1.0,-1.0,0.57,1.52,-1.0,-1.0,0.87,1.94,0.89,1.82,188015.13,169,35.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5243,0.08148279957450622,1112.5155621301776,35.860219340072476,1.0,0
1.0,1.0,1.0,0.74,0.76,0.82,0.73,0.7,0.75,0.82,0.73,0.7,0.75,0.82,0.71,0.6,0.75,0.85,0.9,0.82,0.73,0.7,0.75,0.82,0.73,0.7,0.75,0.82,0.71,0.6,0.75,0.85,0.9,0.82,1.05,0.99,1.17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.333333333,0.333333333,0.444444444,0.333333333,0.4,0.4,0.466666667,0.4,0.0,0.025641026,0.205128205,0.205128205,0.615384615,0.205128205,0.38,1.49,-0.1,-0.06,-0.12,-0.27,-0.19,-0.18,37.0,87.5,-1.0,-1.0,0.75,1.24,-1.0,-1.0,0.73,1.4,0.75,1.58,202158.6,169,29.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5233,0.07930233298134054,1196.2047337278107,38.63149245174852,1.0,0
0.58,0.59,0.7,1.0,0.53,0.66,0.53,0.51,0.53,0.64,0.53,0.51,0.53,0.64,0.51,0.5,0.52,0.61,0.57,0.62,0.3,0.29,0.31,0.43,0.3,0.29,0.31,0.43,0.29,0.27,0.29,0.38,0.3,0.41,1.0,1.0,1.21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.875,0.0,0.0,0.9,0.9,0.0,0.0,0.033333333,0.0,0.883333333,0.883333333,0.0,0.0,0.38,1.49,-0.1,-0.05,-0.12,-0.1,-0.15,-0.18,19.0,87.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15577387.94,168,30.0,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5231,0.08270029208812224,92722.54726190477,2977.8986694704645,1.0,0
0.86,1.0,1.0,0.32,0.3,0.45,0.32,0.33,0.31,0.45,0.32,0.33,0.31,0.45,0.34,0.35,0.33,0.47,0.45,0.49,0.28,0.25,0.31,0.45,0.28,0.25,0.31,0.45,0.29,0.26,0.33,0.47,0.45,0.49,1.16,0.91,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.238095238,0.238095238,0.952380952,0.238095238,0.240384615,0.240384615,0.942307692,0.240384615,0.0,0.005555556,0.211111111,0.211111111,0.961111111,0.211111111,0.38,1.49,-0.1,0.0,-0.12,-0.12,0.0,-0.18,64.0,4.0,-1.0,-1.0,-0.14,0.9,-1.0,-1.0,-0.08,1.36,0.23,0.2,4764082.56,171,40.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5231,0.06150956487164677,27860.131929824558,910.7403096922194,1.0,0
0.58,0.59,0.7,1.0,1.0,1.0,1.0,0.51,1.0,1.0,1.0,0.51,1.0,1.0,0.51,0.5,0.52,0.61,0.57,0.62,1.0,0.29,1.0,1.0,1.0,0.29,1.0,1.0,0.29,0.27,0.29,0.38,0.3,0.41,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.695652174,0.695652174,1.0,0.695652174,0.59375,0.59375,0.96875,0.59375,0.0,0.0,0.650793651,0.650793651,0.968253968,0.650793651,0.54,0.54,0.28,0.13,-0.15,-0.14,-0.07,0.08,70.0,87.5,-1.0,-1.0,0.13,-0.13,-1.0,-1.0,0.17,-0.02,0.18,-0.14,150231404.7,170,29.0,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5231,0.0900929514217314,883714.1452941176,28719.442687822593,1.0,0
0.59,0.59,0.7,0.53,0.55,0.6,0.54,0.53,0.59,0.66,0.54,0.53,0.59,0.66,0.48,0.48,0.52,0.67,0.67,0.62,0.31,0.31,0.3,0.43,0.31,0.31,0.3,0.43,0.28,0.28,0.29,0.43,0.43,0.41,1.08,1.02,1.43,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.547619048,0.547619048,0.916666667,0.547619048,0.476510067,0.476510067,0.872483221,0.463087248,0.0,0.0,0.468553459,0.468553459,0.874213836,0.459119497,0.38,1.49,-0.1,0.0,-0.12,0.35,0.63,-0.18,38.0,74.0,-1.0,-1.0,0.19,0.07,-1.0,-1.0,0.16,-0.06,0.16,-0.1,175444.16,168,23.0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5231,0.07886540538222536,1044.3104761904763,33.5393156184286,1.0,0
0.45,0.44,0.46,0.39,0.38,0.43,0.39,0.46,0.39,0.43,0.39,0.46,0.39,0.43,0.38,0.55,0.36,0.43,0.63,0.39,0.16,0.22,0.16,0.17,0.16,0.22,0.16,0.17,0.17,0.3,0.16,0.22,0.42,0.18,0.96,1.32,1.04,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.760416667,0.760416667,0.739583333,0.739583333,0.737804878,0.737804878,0.719512195,0.719512195,0.0,0.0,0.735973597,0.735973597,0.726072607,0.716171617,0.75,3.04,0.0,0.18,-0.03,-0.23,-0.34,-0.02,195.0,463.0,-1.0,-1.0,0.05,-0.26,-1.0,-1.0,0.15,-0.09,0.16,-0.17,62072.9,168,32.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5230,0.07953111541556557,369.4815476190476,11.868623326959847,1.0,0
0.84,0.81,1.0,0.36,0.36,0.73,0.33,0.35,0.33,0.73,0.33,0.35,0.33,0.73,0.3,0.43,0.28,0.67,0.94,0.66,0.3,0.35,0.28,0.73,0.3,0.35,0.28,0.73,0.25,0.43,0.23,0.67,0.94,0.66,1.15,1.14,2.35,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.681818182,0.681818182,1.0,0.681818182,0.75862069,0.75862069,1.0,0.75862069,0.0,0.0,0.69047619,0.69047619,1.0,0.69047619,1.99,6.76,0.25,-0.23,0.02,0.0,-0.04,0.27,133.0,87.5,7.41,7.41,0.31,0.75,5.77,5.77,0.32,0.79,0.3,0.78,1422081.78,170,47.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5229,0.09349137274107111,8365.186941176471,271.960562248996,0.0,0
